Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
NVDA211231P00287500,NVDA211231P00287500,Buy,Filled,1,1,@0.130,0.130,DAY,12/31/2021 10:50:57 EST,12/31/2021 10:50:57 EST
TGT211231P00227500,TGT211231P00227500,Sell,Filled,4,4,0.060,0.060,DAY,12/31/2021 10:26:59 EST,12/31/2021 10:26:59 EST
NVDA211231C00330000,NVDA211231C00330000,Sell,Filled,1,1,0.010,0.010,DAY,12/31/2021 10:17:08 EST,12/31/2021 10:36:12 EST
TGT211231P00227500,TGT211231P00227500,Buy,Filled,4,4,@0.110,0.110,DAY,12/31/2021 10:16:28 EST,12/31/2021 10:23:19 EST
ROKU211231C00245000,ROKU211231C00245000,Sell,Filled,1,1,0.330,0.330,DAY,12/31/2021 10:04:21 EST,12/31/2021 10:04:22 EST
TSLA211231C01125000,TSLA211231C01125000,Sell,Filled,1,1,0.380,0.380,DAY,12/31/2021 09:49:53 EST,12/31/2021 09:49:54 EST
TSLA211231C01125000,TSLA211231C01125000,Sell,Cancelled,0,1,@0.420,,DAY,12/31/2021 09:49:40 EST,
FB211231P00340000,FB211231P00340000,Sell,Filled,1,1,@1.01,1.01,DAY,12/31/2021 09:43:11 EST,12/31/2021 09:44:08 EST
TSLA211231P01030000,TSLA211231P01030000,Sell,Filled,1,1,0.620,0.620,DAY,12/31/2021 09:37:47 EST,12/31/2021 09:37:47 EST
ROKU211231C00245000,ROKU211231C00245000,Buy,Filled,1,1,@1.36,1.36,DAY,12/31/2021 09:33:20 EST,12/31/2021 09:34:07 EST
FB211231P00340000,FB211231P00340000,Buy,Filled,1,1,@0.660,0.660,DAY,12/31/2021 09:31:18 EST,12/31/2021 09:31:18 EST
TSLA211231P01030000,TSLA211231P01030000,Buy,Filled,1,1,@1.40,1.40,DAY,12/30/2021 15:55:03 EST,12/30/2021 15:55:03 EST
LCID211231C00040000,LCID211231C00040000,Sell,Filled,2,2,@0.650,0.650,DAY,12/30/2021 11:32:15 EST,12/30/2021 11:32:15 EST
AMD211231C00149000,AMD211231C00149000,Sell,Filled,1,1,@1.29,1.29,DAY,12/30/2021 10:56:57 EST,12/30/2021 10:57:03 EST
AMD211231C00149000,AMD211231C00149000,Buy,Filled,1,1,@1.64,1.64,DAY,12/30/2021 10:32:14 EST,12/30/2021 10:32:15 EST
LCID211231C00040000,LCID211231C00040000,Buy,Filled,2,2,@0.230,0.230,DAY,12/30/2021 10:26:22 EST,12/30/2021 10:26:22 EST
NVDA211231C00310000,NVDA211231C00310000,Buy,Cancelled,0,2,@1.05,,DAY,12/30/2021 10:04:35 EST,
